Restaurant_ID,Restaurant_name,Cuisines,Address,Locality_verbose,Locality,City,Country_ID,Average_cost_for_two,Price_range,Aggregate_rating,Rating_text,Votes,Delivering_now,Online_delivery,Table_booking,order_menu,Menu_url,Events_url,Longitude,Latitude,Currency
308322,Hauz Khas Social,"Continental, American, Asian, North Indian","9-A & 12, Hauz Khas Village, New Delhi","Hauz Khas Village, New Delhi",Hauz Khas Village,New Delhi,1,1600,3,4.3,Very Good,7931,0,1,1,0,https://www.zomato.com/HauzKhasSocial/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/HauzKhasSocial/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.1944706,28.5542851,Rs.
18037817,Qubitos - The Terrace Cafe,"Thai, European, Mexican, North Indian, Chinese, Cafe","C-7, Vishal Enclave, Opposite Metro Pillar 417, Rajouri Garden, New Delhi","Rajouri Garden, New Delhi",Rajouri Garden,New Delhi,1,1500,3,4.5,Excellent,778,0,0,1,0,https://www.zomato.com/ncr/qubitos-the-terrace-cafe-rajouri-garden-new-delhi/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/ncr/qubitos-the-terrace-cafe-rajouri-garden-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.1177015,28.6471325,Rs.
312345,The Hudson Cafe,"Cafe, Italian, Continental, Chinese","2524, 1st Floor, Hudson Lane, Delhi University-GTB Nagar, New Delhi","Delhi University-GTB Nagar, New Delhi",Delhi University-GTB Nagar,New Delhi,1,850,2,4.4,Very Good,1537,0,1,0,0,https://www.zomato.com/ncr/the-hudson-cafe-delhi-university-gtb-nagar-new-delhi/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/ncr/the-hudson-cafe-delhi-university-gtb-nagar-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.2043172,28.6949468,Rs.
307490,Summer House Cafe,"Italian, Continental","1st Floor, DDA Shopping Complex, Aurobindo Place, Hauz Khas, New Delhi","Hauz Khas, New Delhi",Hauz Khas,New Delhi,1,1850,3,4.1,Very Good,1823,0,0,1,0,https://www.zomato.com/ncr/summer-house-cafe-hauz-khas-new-delhi/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/ncr/summer-house-cafe-hauz-khas-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.203809,28.5525204,Rs.
18241537,38 Barracks,"North Indian, Italian, Asian, American","M-38, Outer Circle, Connaught Place, New Delhi","Connaught Place, New Delhi",Connaught Place,New Delhi,1,1600,3,4.4,Very Good,840,0,0,1,0,https://www.zomato.com/ncr/38-barracks-connaught-place-new-delhi/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/ncr/38-barracks-connaught-place-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.22285848,28.63302489,Rs.
18161577,Spezia Bistro,"Cafe, Continental, Chinese, Italian","2525, 1st Floor, Hudson Lane, Delhi University-GTB Nagar, New Delhi","Delhi University-GTB Nagar, New Delhi",Delhi University-GTB Nagar,New Delhi,1,900,2,4.6,Excellent,1071,0,1,1,0,https://www.zomato.com/ncr/spezia-bistro-delhi-university-gtb-nagar-new-delhi/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/ncr/spezia-bistro-delhi-university-gtb-nagar-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.2041413,28.694839,Rs.
303960,Manhattan Brewery & Bar Exchange,"Finger Food, American, Continental, North Indian, Italian","1st Floor, Global Foyer Mall, Sector 43, Golf Course Road, Gurgaon","Global Foyer Mall, Golf Course Road, Gurgaon","Global Foyer Mall, Golf Course Road",Gurgaon,1,2000,4,4.6,Excellent,2093,0,0,0,0,https://www.zomato.com/ncr/manhattan-brewery-bar-exchange-golf-course-road-gurgaon/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/ncr/manhattan-brewery-bar-exchange-golf-course-road-gurgaon/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.0950273,28.460271,Rs.
306134,The Wine Company,"Italian, European","Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City",Gurgaon,1,2000,4,2.4,Poor,2412,0,0,1,0,https://www.zomato.com/ncr/the-wine-company-dlf-cyber-city-gurgaon/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/ncr/the-wine-company-dlf-cyber-city-gurgaon/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.0890476,28.4962285,Rs.
18233593,Farzi Cafe,Modern Indian,"38/39, Level 1, Block E , Inner Circle, Connaught Place, New Delhi","Connaught Place, New Delhi",Connaught Place,New Delhi,1,2200,4,4.4,Very Good,1942,0,0,0,0,https://www.zomato.com/ncr/farzi-cafe-connaught-place-new-delhi/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/ncr/farzi-cafe-connaught-place-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.2214296,28.6323984,Rs.
7528,Indian Grill Room,"North Indian, Mughlai","315, 3rd Floor, Suncity Business Tower, Golf Course Road, Gurgaon","Suncity Business Tower, Golf Course Road, Gurgaon","Suncity Business Tower, Golf Course Road",Gurgaon,1,1800,3,4.5,Excellent,1262,0,1,1,0,https://www.zomato.com/ncr/indian-grill-room-golf-course-road-gurgaon/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/ncr/indian-grill-room-golf-course-road-gurgaon/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.1052774,28.4334574,Rs.
18273624,Cafeteria & Co.,"Continental, Mexican","G 14, Hudson Lane, Vijay Nagar, New Delhi","Vijay Nagar, New Delhi",Vijay Nagar,New Delhi,1,900,2,4.6,Excellent,1136,0,0,0,0,https://www.zomato.com/ncr/cafeteria-co-vijay-nagar-new-delhi/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://www.zomato.com/ncr/cafeteria-co-vijay-nagar-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.2043384,28.6944707,Rs.
